timestamp,source.ip,host.collector,destination.port,destination.ip,observer.egress.zone,observer.ingress.zone,rule.name
2025-04-02T20:19:11Z,192.168.4.115,fw-collector-02,443,199.232.69.194,external,internal,allow-web-https
2025-04-02T20:19:48Z,192.168.1.111,fw-collector-02,443,172.217.160.78,external,internal,allow-web-https
2025-04-02T20:20:28Z,192.168.4.238,fw-collector-02,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T20:22:09Z,192.168.2.113,fw-collector-01,3306,10.0.1.110,database,application,allow-database-access
2025-04-02T20:22:13Z,192.168.3.68,fw-collector-03,53,199.232.69.194,external,internal,allow-dns
2025-04-02T20:23:58Z,192.168.5.82,fw-collector-02,53,142.250.190.46,external,internal,allow-dns
2025-04-02T20:26:13Z,192.168.1.114,fw-collector-02,53,13.107.42.14,external,internal,allow-dns
2025-04-02T20:30:18Z,192.168.3.31,fw-collector-03,80,23.185.0.2,external,internal,allow-web-http
2025-04-02T20:31:55Z,192.168.4.73,fw-collector-01,443,52.94.236.248,external,internal,allow-web-https
2025-04-02T20:34:29Z,192.168.4.115,fw-collector-01,22,10.0.0.1,dmz,internal,allow-ssh
2025-04-02T20:36:19Z,192.168.3.31,fw-collector-02,443,31.13.72.36,external,internal,allow-web-https
2025-04-02T20:36:51Z,192.168.1.111,fw-collector-01,443,31.13.72.36,external,internal,allow-web-https
2025-04-02T20:37:06Z,192.168.5.229,fw-collector-02,3389,10.0.0.1,dmz,internal,allow-rdp
2025-04-02T20:37:09Z,192.168.5.229,fw-collector-02,80,151.101.1.69,external,internal,allow-web-http
2025-04-02T20:37:22Z,192.168.1.114,fw-collector-01,22,10.0.0.151,dmz,internal,allow-ssh
2025-04-02T20:38:39Z,192.168.4.115,fw-collector-03,80,31.13.72.36,external,internal,allow-web-http
2025-04-02T20:40:56Z,192.168.1.194,fw-collector-01,22,10.0.0.245,dmz,internal,allow-ssh
2025-04-02T20:42:03Z,192.168.5.170,fw-collector-03,443,52.94.236.248,external,internal,allow-web-https
2025-04-02T20:42:22Z,192.168.2.144,fw-collector-03,3306,10.0.1.220,database,application,allow-database-access
2025-04-02T20:43:19Z,192.168.2.228,fw-collector-03,3306,10.0.1.105,database,application,allow-database-access
2025-04-02T20:45:00Z,192.168.5.82,fw-collector-01,22,10.0.0.1,dmz,internal,allow-ssh
2025-04-02T20:45:45Z,192.168.2.240,fw-collector-02,3306,10.0.1.36,database,application,allow-database-access
2025-04-02T20:46:06Z,192.168.2.182,fw-collector-02,3306,10.0.1.218,database,application,allow-database-access
2025-04-02T20:46:22Z,192.168.2.51,fw-collector-03,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T20:46:39Z,192.168.5.170,fw-collector-03,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-02T20:46:49Z,192.168.2.51,fw-collector-03,53,104.244.42.65,external,internal,allow-dns
2025-04-02T20:47:33Z,192.168.4.88,fw-collector-01,80,172.217.160.78,external,internal,allow-web-http
2025-04-02T20:49:24Z,192.168.1.194,fw-collector-03,23,10.0.0.119,external,database,allow-any-any
2025-04-02T20:50:20Z,192.168.2.153,fw-collector-01,161,151.101.1.69,database,application,allow-any-any
2025-04-02T20:50:42Z,192.168.4.88,fw-collector-03,80,31.13.72.36,external,internal,allow-web-http
2025-04-02T20:51:21Z,192.168.5.252,fw-collector-02,443,199.232.69.194,external,internal,allow-web-https
2025-04-02T20:51:39Z,192.168.2.146,fw-collector-01,443,151.101.1.69,external,internal,allow-web-https
2025-04-02T20:52:37Z,192.168.3.31,fw-collector-01,53,13.107.42.14,external,internal,allow-dns
2025-04-02T20:52:38Z,192.168.3.246,fw-collector-03,21,10.0.0.25,application,database,allow-any-any
2025-04-02T20:52:39Z,192.168.2.212,fw-collector-01,3306,10.0.1.22,database,application,allow-database-access
2025-04-02T20:54:15Z,192.168.2.51,fw-collector-01,22,10.0.0.25,dmz,internal,allow-ssh
2025-04-02T20:54:30Z,192.168.2.110,fw-collector-02,80,13.107.42.14,external,internal,allow-web-http
2025-04-02T20:55:40Z,192.168.5.252,fw-collector-02,22,10.0.0.17,dmz,internal,allow-ssh
2025-04-02T20:56:04Z,192.168.1.114,fw-collector-01,443,142.250.190.46,external,internal,allow-web-https
2025-04-02T20:56:19Z,192.168.4.238,fw-collector-01,53,23.185.0.2,external,internal,allow-dns
2025-04-02T20:56:50Z,192.168.5.229,fw-collector-01,80,142.250.190.46,external,internal,allow-web-http
2025-04-02T20:58:59Z,192.168.2.11,fw-collector-03,3306,10.0.1.130,database,application,allow-database-access
2025-04-02T20:59:16Z,192.168.2.51,fw-collector-01,443,31.13.72.36,external,internal,allow-web-https
2025-04-02T20:59:52Z,192.168.4.88,fw-collector-03,3389,31.13.72.36,application,dmz,allow-any-any
2025-04-02T21:01:52Z,192.168.2.153,fw-collector-01,443,142.250.190.46,external,internal,allow-web-https
2025-04-02T21:01:57Z,192.168.4.88,fw-collector-01,3389,10.0.0.17,dmz,internal,allow-rdp
