source.ip,destination.ip,destination.port
192.168.4.115,199.232.69.194,443
192.168.1.111,172.217.160.78,443
192.168.4.238,10.0.0.27,22
192.168.2.113,10.0.1.110,3306
192.168.3.68,199.232.69.194,53
192.168.5.82,142.250.190.46,53
192.168.1.114,13.107.42.14,53
192.168.3.31,23.185.0.2,80
192.168.4.73,52.94.236.248,443
192.168.4.115,10.0.0.1,22
192.168.3.31,31.13.72.36,443
192.168.1.111,31.13.72.36,443
192.168.5.229,10.0.0.1,3389
192.168.5.229,151.101.1.69,80
192.168.1.114,10.0.0.151,22
192.168.4.115,31.13.72.36,80
192.168.1.194,10.0.0.245,22
192.168.5.170,52.94.236.248,443
192.168.2.144,10.0.1.220,3306
192.168.2.228,10.0.1.105,3306
192.168.5.82,10.0.0.1,22
192.168.2.240,10.0.1.36,3306
192.168.2.182,10.0.1.218,3306
192.168.2.51,52.94.236.248,80
192.168.5.170,10.0.0.17,3389
192.168.2.51,104.244.42.65,53
192.168.4.88,172.217.160.78,80
192.168.1.194,10.0.0.119,23
192.168.2.153,151.101.1.69,161
192.168.4.88,31.13.72.36,80
192.168.5.252,199.232.69.194,443
192.168.2.146,151.101.1.69,443
192.168.3.31,13.107.42.14,53
192.168.3.246,10.0.0.25,21
192.168.2.212,10.0.1.22,3306
192.168.2.51,10.0.0.25,22
192.168.2.110,13.107.42.14,80
192.168.5.252,10.0.0.17,22
192.168.1.114,142.250.190.46,443
192.168.4.238,23.185.0.2,53
192.168.5.229,142.250.190.46,80
192.168.2.11,10.0.1.130,3306
192.168.2.51,31.13.72.36,443
192.168.4.88,31.13.72.36,3389
192.168.2.153,142.250.190.46,443
192.168.4.88,10.0.0.17,3389
192.168.2.153,104.244.42.65,53
192.168.2.112,13.107.42.14,443
192.168.2.51,13.107.42.14,53
192.168.4.238,104.244.42.65,443
192.168.2.110,10.0.0.245,22
192.168.4.73,10.0.0.151,22
192.168.4.115,52.94.236.248,53
192.168.4.238,172.217.160.78,443
192.168.3.31,10.0.0.151,22
192.168.2.8,10.0.1.25,3306
192.168.4.238,10.0.0.25,22
192.168.1.114,52.94.236.248,443
